Radar Station | produced by | National Film Board of Canada
Northwestern branch | part of | Western Iranian
Mazanderani | related to | Gilaki
Mazanderani | related to | Persian
Persian | branch | Northwestern branch
Mazanderani | shares vocabulary with | Gilaki
Mazanderani | shares features with | Caucasian languages
Mazanderani people | related to | Caucasus region
Mazanderani people | related to | Caucasian peoples
Gilaki people | related to | Caucasus region
Gilaki people | related to | Caucasian peoples
Tugurt language | also known as | Oued Righ Berber
Tugurt language | also known as | Temacine Tamazight
Tugurt language | belongs to | Zenati Berber variety
Tugurt language | spoken in | Oued Righ region
Tugurt language | main speech area | Temacine
Tugurt language | main speech area | Blidet-Amor
Tugurt language | main speech area | Meggarine
Tugurt language | main speech area | Ghomra
Tugurt language | related to | Tumzabt
Tugurt language | related to | Teggargrent
Dyula language | also known as | Jula
Dyula language | also known as | Dioula
Dyula language | belongs to | Manding languages
Dyula language | spoken in | Burkina Faso
Dyula language | spoken in | Ivory Coast
Dyula language | spoken in | Mali
Dyula language | related to | Bambara
Dyula language | mutually intelligible with | Bambara
Dyula language | mutually intelligible with | Malinke
Dyula language | function | trade language
Dyula language | written in | Arabic script
Dyula language | written in | Latin script
Dyula language | written in | N'Ko script
Charles Fraser-Smith | 出生日期 | 26 January 1904
Charles Fraser-Smith | 逝世日期 | 9 November 1992
Charles Fraser-Smith | 职业 | 作者
Charles Fraser-Smith | 职业 | 传教士
Charles Fraser-Smith | 灵感来源 | Ian Fleming's James Bond quartermaster Q
Charles Fraser-Smith | 工作单位 | Ministry of Supply
Charles Fraser-Smith | 工作内容 | fabricating Q-devices for SOE agents
Charles Fraser-Smith | 曾工作地点 | North Africa
Colonel Sun | 作者 | Kingsley Amis
Colonel Sun | 出版日期 | 28 March 1968
Colonel Sun | 出版社 | Jonathan Cape
Kingsley Amis | 使用笔名 | Robert Markham
Colonel Sun | 类型 | James Bond continuation novel
Kingsley Amis | 创作作品 | The James Bond Dossier
Kingsley Amis | 创作作品 | The Book of Bond
Colonel Sun | 主角 | James Bond
James Bond | 隶属组织 | British Secret Service
James Bond | 上级 | M
Colonel Sun | 主要情节 | track down the kidnappers of M
Colonel Sun | 涉及阴谋 | communist Chinese plot to cause an international incident
James Bond | 协助者 | Greek spy working for the Russians
James Bond | 营救对象 | M
James Bond | 击杀对象 | Colonel Sun Liang-tan
James Bond | 击杀对象 | Von Richter
Von Richter | 身份 | former Nazi commander
Kingsman | is part of | British-American media franchise
Kingsman | originally appeared in | spy action-comedy comic book series
spy action-comedy comic book series | written by | Mark Millar and Dave Gibbons
spy action-comedy comic book series | colored by | Angus McKie
spy action-comedy comic book series | edited by | Nicole Wiley Boose
spy action-comedy comic book series | published by | Icon Comics
Icon Comics | is imprint of | Marvel Comics
Volume 1 | released in | 2012
Volume 1 | deals with | super-spy recruiting his young nephew to the secret service
Volume 1 | originally known as | No. 1 of the Secret Service
Kingsman | is set in | Millarverse
Kingsman Vol. 1 | referenced in | Kick-Ass 3 #8
stand-alone sequel | set in | continuity of the original comic and film series
stand-alone sequel | subtitled | The Big Exit
stand-alone sequel | released in | September/October 2017 issue of Playboy Magazine
stand-alone sequel | written by | Rob Williams
stand-alone sequel | art by | Ozgur Yildirim
Kingsman Volume 2 | subtitled | The Red Diamond
Kingsman Volume 2 | released through | Image Comics
Kingsman Volume 2 | released in | September 2017
No. 1 of the Secret Service | basis for | feature film
Matthew Vaughn | directed | feature film
Jane Goldman | co-wrote | feature film
feature film | release date | 13 February 2015
Colin Firth | starred in | feature film
Taron Egerton | starred in | feature film
Michael Caine | starred in | feature film
Samuel L. Jackson | starred in | feature film
Mark Strong | starred in | feature film
Sophie Cookson | starred in | feature film
Sofia Boutella | starred in | feature film
Jack Davenport | starred in | feature film
Mark Hamill | starred in | feature film
feature film | has sequel | sequel
sequel | release date | September 2017
Director of the United States Secret Service | is head of | U.S. Secret Service
Director of the United States Secret Service | is responsible for | day-to-day operations
U.S. Secret Service | concerned with | prevention and investigation of counterfeiting
U.S. Secret Service | protects | current and former national leaders and their families
Sidney Reilly | known as | Ace of Spies
Sidney Reilly | was secret agent of | British Secret Service Bureau
British Secret Service Bureau | precursor to | British Secret Service
Sidney Reilly | alleged to have spied for | at least four different powers
Q | is fictional character in | James Bond films and film novelisations
Q | stands for | Quartermaster
Q | is job title | Quartermaster
Q | is head of | Q Branch
Q Branch | is part of | British Secret Service
No. 1 of the Secret Service | starring | Nicky Henson
Nicky Henson | plays | Charles Bind
No. 1 of the Secret Service | directed by | Lindsay Shonteff
No. 1 of the Secret Service | written by | Lindsay Shonteff
No. 1 of the Secret Service | produced by | Elizabeth Gray
No. 1 of the Secret Service | working title | 008 of the Secret Service
No. 1 of the Secret Service | released as | Her Majesty’s Top Gun
Secret Service Counter-Assault Teams | maintained by | U.S. Secret Service
Secret Service Counter-Assault Teams | responsible for | repelling coordinated attacks against dignitaries
close protection team | mission | shield a dignitary from attackers and evacuate them to a place of safety
secret service | began fielding | counter-assault teams in 1979
Hawkeye | designation for | CAT assigned to the President of the United States
President Obama | Secret Service call sign | Hawkeye Renegade
The XYY Man | author | Kenneth Royce
William 'Spider' Scott | main character of | The XYY Man
William 'Spider' Scott | former occupation | cat-burglar
William 'Spider' Scott | genetic condition | extra Y chromosome
extra Y chromosome | associated with | criminal predisposition
William 'Spider' Scott | employed by | British Secret Service
secret service | definition | government agency concerned with gathering intelligence data
secret service | variation | tasks and powers vary by country
secret service | may have | some policing powers
secret service | operational mode | partly secret and partly not
His Dark Materials | is trilogy of | fantasy novels
His Dark Materials | author | Philip Pullman
His Dark Materials | consists of | Northern Lights
His Dark Materials | consists of | The Subtle Knife
His Dark Materials | consists of | The Amber Spyglass
Northern Lights | alternative title | The Golden Compass
His Dark Materials | follows | Lyra Belacqua
His Dark Materials | follows | Will Parry
The Amber Spyglass | won award | 2001 Whitbread Book of the Year
Northern Lights | won award | Carnegie Medal
His Dark Materials | ranked | third in BBC's Big Read poll
The Book of Dust | is trilogy of | fantasy novels
The Book of Dust | author | Philip Pullman
The Book of Dust | is companion to | His Dark Materials
The Book of Dust | first book set before | Northern Lights
The Book of Dust | centres on | Lyra Belacqua
The Book of Dust | features | Alethiometers
The Book of Dust | features | dæmons
The Book of Dust | features | Magisterium
The Book of Dust | introduces | new characters
The Subtle Knife | is part of series | His Dark Materials
The Subtle Knife | genre | young-adult fantasy novel
The Subtle Knife | author | Philip Pullman
The Subtle Knife | publication year | 1997
The Subtle Knife | main character | Lyra Belacqua
Lyra Belacqua | investigates | Dust phenomenon
Lyra Belacqua | searches for | her father
Will Parry | is companion to | Lyra Belacqua
Lyra | artist | Kate Bush
Lyra | album | The Golden Compass
Lyra | film | The Golden Compass
Lyra | used in | closing credits
Kate Bush | was commissioned to write | Lyra
Lyra | references | Lyra Belacqua
Northern Lights | genre | young-adult fantasy novel
Northern Lights | author | Philip Pullman
Northern Lights | publisher | Scholastic UK
Northern Lights | publication year | 1995
Northern Lights | setting | parallel universe
Northern Lights | main character | Lyra Belacqua
Lyra Belacqua | searches for | Roger Parslow
Lyra Belacqua | searches for | Lord Asriel
Lord Asriel | conducts experiments with | Dust
William Parry | also known as | Will Parry
William Parry | is protagonist in | His Dark Materials
William Parry | co-protagonist with | Lyra Belacqua
William Parry | first appears in | The Subtle Knife
William Parry | age when introduced | 12-year-old
William Parry | meets | Lyra Belacqua
William Parry | befriends | Lyra Belacqua
William Parry | investigates | Dust
William Parry | investigates | disappearance of his father
William Parry | possesses | The Subtle Knife
William Parry | aids | Lord Asriel
Lord Asriel | attempts to destroy | The Authority
Lyra Belacqua | also known as | Lyra Silvertongue
Lyra Belacqua | is heroine of | His Dark Materials
Lyra Belacqua | inhabits | parallel universe
Lyra Belacqua | embroiled in | cosmic war
cosmic war | involves | Lord Asriel
cosmic war | involves | The Authority
cosmic war | involves | Metatron
The Authority | has regent | Metatron
parallel universe | co-exists with | one's own reality
group of parallel universes | called | multiverse
multiverse | describes | possible parallel universes
parallel universe | synonymous with | alternative reality
alternative reality | implies | variant of our own reality
parallel universe | more general than | alternative reality
universe with different laws of nature | counts as | parallel universe
universe with different laws of nature | does not count as | alternative reality
Northern Lights | written by | Philip Pullman
BBC and Cavalcade audiobook | recorded | Northern Lights
BBC and Cavalcade audiobook | first recorded in | 2002
Lyra's Oxford | 作者 | Philip Pullman
Lyra's Oxford | 主角 | Lyra Belacqua
Lyra's Oxford | 时间设定 | Lyra 15岁时
Lyra's Oxford | 关联作品 | His Dark Materials
His Dark Materials | 作者 | Philip Pullman
Johnny English | 类型 | 动作喜剧电影系列
Johnny English | 模仿对象 | James Bond
Johnny English | 主演 | Rowan Atkinson
Johnny English | 导演 | Oliver Parker
Johnny English | 系列归属 | Johnny English film series
Johnny English | 编剧 | Neal Purvis
Johnny English | 编剧 | Robert Wade
Johnny English | 喜剧风格 | Mr. Bean
Johnny English | 全球票房 | 3.2亿美元
Robin Driscoll | 国籍 | 英国
Robin Driscoll | 职业 | 演员
Robin Driscoll | 职业 | 编剧
Robin Driscoll | 代表作品 | Mr. Bean
Robin Driscoll | 朋友 | Rowan Atkinson
Robin Driscoll | 出演 | Laughing Matters
Mr. Bean's Holiday | 类型 | 喜剧电影
Mr. Bean's Holiday | 导演 | Steve Bendelack
Mr. Bean's Holiday | 配乐 | Howard Goodall
Mr. Bean's Holiday | 制片人 | Peter Bennett-Jones
Mr. Bean's Holiday | 制片人 | Tim Bevan
Mr. Bean's Holiday | 制片人 | Eric Fellner
Mr. Bean's Holiday | 编剧 | Hamish McColl
Mr. Bean's Holiday | 编剧 | Robin Driscoll
Mr. Bean's Holiday | 主演 | Rowan Atkinson
Mr. Bean's Holiday | 主演 | Maxim Baldry
Mr. Bean's Holiday | 主演 | Emma de Caunes
Mr. Bean's Holiday | 主演 | Willem Dafoe
Mr. Bean's Holiday | 改编自 | Mr. Bean
Mr. Bean's Holiday | 前作 | Bean
Get Smart | 类型 | 美国喜剧电视系列剧
Get Smart | 讽刺对象 | 间谍题材
Get Smart | 创作者 | Mel Brooks
Get Smart | 创作者 | Buck Henry
Get Smart | 主演 | Don Adams
Get Smart | 主演 | Barbara Feldon
Get Smart | 主演 | Edward Platt
Get Smart | 创作灵感来源 | James Bond
Get Smart | 创作灵感来源 | Inspector Clouseau
Mr. Bean | 类型 | 英国喜剧电视节目
Mr. Bean | 创作者 | Rowan Atkinson
The End of Agent W4C | original title | Konec agenta W4C prostřednictvím psa pana Foustky
